Date,Close,index,Rolling correlation
3/1/17,119.059998,102.93,
3/2/17,117.580002,108.62,
3/3/17,117.510002,108.78,
3/4/17,117.2466683,108.8266667,
3/5/17,116.9833347,108.8733333,
3/6/17,116.720001,108.92,
3/7/17,115.779999,105.78,
3/8/17,115.059998,98.74,
3/9/17,114.470001,102.54,
3/10/17,114.720001,109.4,
3/11/17,114.7266667,109.8333333,
3/12/17,114.7333323,110.2666667,
3/13/17,114.739998,110.7,
3/14/17,114.120003,111.7,
3/15/17,116.25,114.09,
3/16/17,116.730003,111.46,
3/17/17,116.989998,109.48,
3/18/17,117.1633327,106.9566667,
3/19/17,117.3366673,104.4333333,
3/20/17,117.510002,101.91,
3/21/17,118.540001,107.3,
3/22/17,118.830002,99.19,
3/23/17,118.669998,101.76,
3/24/17,118.860001,100.31,
3/25/17,119.0833337,101.2366667,
3/26/17,119.3066663,102.1633333,
3/27/17,119.529999,103.09,
3/28/17,119.040001,104.05,
3/29/17,119.330002,106.15,
3/30/17,118.470001,106.15,
3/31/17,118.720001,109.15,
4/1/17,118.93,110.6866667,
4/2/17,119.139999,112.2233333,
4/3/17,119.349998,113.76,
4/4/17,119.620003,113.43,
4/5/17,119.620003,113.31,
4/6/17,119.18,115.52,
4/7/17,119.459999,116.33,
4/8/17,119.459999,116.8033333,
4/9/17,119.459999,117.2766667,
4/10/17,119.459999,117.75,
4/11/17,121.190002,118.68,
4/12/17,122.019997,120.08,
4/13/17,122.599998,118.2,
4/14/17,122.509998,118.24,
4/15/17,122.419998,118.56,
4/16/17,122.329998,118.88,
4/17/17,122.239998,119.2,
4/18/17,122.82,120.44,
4/19/17,121.730003,120.71,
4/20/17,121.959999,122.56,
4/21/17,122.309998,124.04,
4/22/17,122.033333,124.79,
4/23/17,121.756668,125.54,
4/24/17,121.480003,126.29,
4/25/17,120.25,128.6,
4/26/17,120.839996,132.32,
4/27/17,120.389999,137.65,
4/28/17,120.769997,139.85,
4/29/17,120.4033307,143.9666667,
4/30/17,120.0366643,148.0833333,
5/1/17,119.669998,152.2,
5/2/17,119.650002,156.61,
5/3/17,117.980003,161.45,
5/4/17,116.790001,173.29,
5/5/17,117.010002,173.58,
5/6/17,116.9233347,178.2933333,
5/7/17,116.8366673,183.0066667,
5/8/17,116.75,187.72,
5/9/17,116.050003,193.03,
5/10/17,116.040001,197.39,
5/11/17,116.5,201.86,
5/12/17,116.830002,187.52,
5/13/17,116.9333343,190.4966667,
5/14/17,117.0366667,193.4733333,
5/15/17,117.139999,196.45,
5/16/17,117.650002,204.29,
5/17/17,119.790001,214.71,
5/18/17,118.809998,218.53,
5/19/17,119.400002,232.03,
5/20/17,119.5666687,243.5366667,
5/21/17,119.7333353,255.0433333,
5/22/17,119.900002,266.55,
5/23/17,119.139999,274.66,
5/24/17,119.610001,304.11,
5/25/17,119.480003,293.57,
5/26/17,120.540001,280.52,
5/27/17,120.4400005,283.6266667,
5/28/17,120.34,286.7333333,
5/29/17,120.2399995,289.84,
5/30/17,120.139999,288.63,
5/31/17,120.620003,301.19,
6/1/17,120.720001,310.27,
6/2/17,121.610001,310.61,
6/3/17,121.6500017,321.3933333,
6/4/17,121.6900023,332.1766667,
6/5/17,121.730003,342.96,
6/6/17,123.099998,361.57,0.281165637
6/7/17,122.449997,357.89,0.310039328
6/8/17,121.650002,353.02,0.323733782
6/9/17,120.540001,368.16,0.32522307
6/10/17,120.480001,369.8433333,0.325135047
6/11/17,120.420001,371.5266667,0.323542646
6/12/17,120.360001,373.21,0.320495886
6/13/17,120.480003,407.63,0.315338912
6/14/17,119.82,381.38,0.301510265
6/15/17,119.32,342.41,0.28443768
6/16/17,119.339996,374.46,0.266511285
6/17/17,119.036664,378.0166667,0.244442215
6/18/17,118.733332,381.5733333,0.217870444
6/19/17,118.43,385.13,0.186380506
6/20/17,118.18,400.52,0.147279109
6/21/17,118.519997,367.49,0.120536012
6/22/17,118.919998,380.13,0.097765861
6/23/17,119.43,385.73,0.080365877
6/24/17,119.0733337,357.29,0.060360341
6/25/17,118.7166673,328.85,0.038996595
6/26/17,118.360001,300.41,0.017634433
6/27/17,118.809998,324.84,0.004223993
6/28/17,118.900002,363.23,-0.008996988
6/29/17,118.32,357.18,-0.027541559
6/30/17,118.019997,346.46,-0.045791705
7/1/17,117.3766633,346.6633333,-0.066166669
7/2/17,116.7333297,346.8666667,-0.087905361
7/3/17,116.089996,347.07,-0.110185825
7/4/17,116.3049965,346.75,-0.133408669
7/5/17,116.519997,351.78,-0.152885787
7/6/17,116.470001,346.45,-0.177351034
7/7/17,115.279999,329.87,-0.19942519
7/8/17,115.343333,320.8733333,-0.216553167
7/9/17,115.406667,311.8766667,-0.229229652
7/10/17,115.470001,302.88,-0.237849825
7/11/17,115.620003,277.82,-0.239461558
7/12/17,116.029999,304.03,-0.245096455
7/13/17,115.82,288.54,-0.250867174
7/14/17,116.769997,274.03,-0.252655363
7/15/17,116.9433317,269.4833333,-0.253779831
7/16/17,117.1166663,264.9366667,-0.254330982
7/17/17,117.290001,260.39,-0.254395053
7/18/17,118.110001,303.56,-0.245260147
7/19/17,118.080002,273.71,-0.228853619
7/20/17,118.239998,323.81,-0.209033913
7/21/17,119.260002,318.71,-0.185024559
7/22/17,119.2766673,324.86,-0.159532177
7/23/17,119.2933327,331.01,-0.132456896
7/24/17,119.309998,337.16,-0.103695771
7/25/17,118.919998,298.92,-0.069178838
7/26/17,119.879997,298.55,-0.040631918
7/27/17,119.790001,306.7,-0.0075169
7/28/17,120.690002,314.64,0.034387379
7/29/17,120.7100013,317.7566667,0.07643068
7/30/17,120.7300007,320.8733333,0.118251259
7/31/17,120.75,323.99,0.15950145
8/1/17,120.650002,334.22,0.187155374
8/2/17,120.400002,325.19,0.22209748
8/3/17,120.589996,335.28,0.253209406
8/4/17,119.650002,336.76,0.289249968
8/5/17,119.6033353,356.6433333,0.322159221
8/6/17,119.5566687,376.5266667,0.351094587
8/7/17,119.510002,396.41,0.375157586
8/8/17,119.860001,414.38,0.401900816
8/9/17,121.309998,407,0.416262488
8/10/17,122.209999,417.06,0.423146657
8/11/17,122.790001,422.81,0.435128771
8/12/17,122.5,437.4433333,0.446070346
8/13/17,122.209999,452.0766667,0.454820657
8/14/17,121.919998,466.71,0.460369045
8/15/17,120.980003,445.99,0.450366181
8/16/17,121.870003,472.06,0.448343756
8/17/17,122.489998,472.43,0.454294831
8/18/17,122.300003,456.39,0.457485888
8/19/17,122.453336,459.9933333,0.4619816
8/20/17,122.606669,463.5966667,0.467772149
8/21/17,122.760002,467.2,0.474837762
8/22/17,122.209999,472.06,0.481994636
8/23/17,122.669998,475.95,0.513516529
8/24/17,122.290001,487.15,0.530606988
8/25/17,122.739998,494.11,0.554380147
8/26/17,123.3899993,499.2166667,0.581242579
8/27/17,124.0400007,504.3233333,0.60985125
8/28/17,124.690002,509.43,0.638922526
8/29/17,124.419998,538.08,0.66044297
8/30/17,124.360001,542.06,0.678964684
8/31/17,125.82,560.73,0.703681821
9/1/17,126.059998,580.74,0.733735558
9/2/17,126.4099983,557.9033333,0.75826766
9/3/17,126.7599985,535.0666667,0.777069471
9/4/17,127.1099987,512.23,0.789960447
9/5/17,127.459999,511.58,0.801161876
9/6/17,126.809998,533.95,0.8151084
9/7/17,128.130005,531.19,0.826344124
9/8/17,127.970001,478.62,0.832013102
9/9/17,127.376668,478.4333333,0.837903832
9/10/17,126.783335,478.2466667,0.843615482
9/11/17,126.190002,478.06,0.84889484
9/12/17,126.559998,475,0.854962724
9/13/17,125.610001,435.93,0.856518708
9/14/17,126.160004,377.69,0.844523562
9/15/17,125.529999,418.05,0.840207561
9/16/17,125.1399997,430.89,0.838468106
9/17/17,124.7500003,443.73,0.838467493
9/18/17,124.360001,456.57,0.83943686
9/19/17,124.620003,443.7,0.839871007
9/20/17,123.620003,448.18,0.840592491
9/21/17,122.68,408.48,0.839833679
9/22/17,123.239998,406.33,0.838765159
9/23/17,123.6699983,420.3566667,0.838479286
9/24/17,124.0999987,434.3833333,0.839183119
9/25/17,124.529999,448.41,0.841075914
9/26/17,123.139999,445.69,0.845017074
9/27/17,121.980003,476.28,0.843161347
9/28/17,122.209999,469.13,0.842612211
9/29/17,121.580002,466.01,0.840880311
9/30/17,121.3100003,471.78,0.837180253
