Date,Open,High,Low,Close,Volume,Market Cap,,,
Jun-28-2015,250.99,251.172,247.434,248.987,20161909.41,3572972984,,,
Jun-27-2015,243.594,251.339,243.117,251.083,15294772.57,3520253157,,,
Jun-26-2015,242.799,243.749,241.553,243.599,13437526.74,3465127432,,,
Jun-25-2015,240.515,243.332,240.365,242.694,17528632.64,3462875883,,,
Jun-24-2015,244.296,244.341,240.525,240.525,16055075.44,3472006018,,,
Jun-23-2015,246.99,247.304,243.133,244.346,16167243.75,3504395505,,,
Jun-22-2015,243.944,247.917,243.779,246.998,14778768.06,3514063021,,,
Jun-21-2015,245.212,245.224,241.882,243.946,14144761.54,3482479455,,,
Jun-20-2015,244.606,245.828,240.627,245.23,24208856.94,3475919164,,,
Jun-19-2015,249.007,250.977,243.787,244.519,25736086.11,3542970186,,,
Jun-18-2015,249.284,252.108,244.127,248.873,36441462.15,3556637400,,,
Jun-17-2015,250.895,256.853,246.476,248.922,48214697.91,3585136627,,,
Jun-16-2015,236.823,251.742,236.122,250.431,27651092.36,3453196841,,,
Jun-15-2015,233.543,237.836,233.422,236.861,15019094.1,3358805960,,,
Jun-14-2015,232.402,234.858,232.004,233.554,13403188.5,3330682292,,,
Jun-13-2015,229.982,232.652,229.21,232.297,13452911.23,3289654058,,,
Jun-12-2015,229.705,231.057,229.313,230.057,13864802.78,3283656983,,,
Jun-11-2015,228.803,230.287,228.767,229.689,15596744.44,3275507526,,,
Jun-10-2015,229.048,229.782,228.01,228.839,19940991.29,3263199630,,,
Jun-09-2015,228.489,230.954,227.929,229.103,28453549.65,3269821484,,,
Jun-08-2015,222.881,229.464,222.839,228.536,17321369.1,3219474991,,,
Jun-07-2015,225.619,226.194,222.652,223.39,11981162.72,3200611818,,,
Jun-06-2015,224.952,225.719,224.379,225.616,14361861.59,3204741921,,,
Jun-05-2015,224.324,225.968,223.179,224.97,17000379.17,3196456692,,,
Jun-04-2015,225.874,226.581,224.054,224.273,15809486.81,3209573575,,,
Jun-03-2015,225.803,227.404,223.93,225.8,18991333.1,3216312279,,,
Jun-02-2015,222.894,226.416,222.419,225.827,24994365.09,3191267945,,,
Jun-01-2015,230.19,231.713,221.296,222.926,19407985.96,3232509034,,,
May-31-2015,233.345,233.345,229.542,229.968,12913179.44,3300288851,,,
May-30-2015,237.096,237.096,232.046,233.495,14234332.63,3329542969,,,
May-29-2015,237.408,237.522,235.731,237.115,14946369.44,3366297189,,,
May-28-2015,237.283,237.824,236.652,237.397,16616650.58,3372598532,,,
May-27-2015,237.116,238.636,236.695,237.277,17261091.46,3373386182,,,
May-26-2015,237.11,238.242,235.692,237.249,14999795.41,3371851481,,,
May-25-2015,240.953,241.021,236.637,237.096,13187185.66,3387781554,,,
May-24-2015,238.872,241.978,238.811,240.95,12417004.55,3409046170,,,
May-23-2015,240.348,241.025,238.691,238.916,23306749.48,3406611170,,,
May-22-2015,235.344,240.969,235.06,240.463,18697210.07,3365380253,,,
May-21-2015,234.018,236.242,233.835,235.349,15627859.38,3333907308,,,
May-20-2015,231.947,234.683,231.842,233.959,14876891.64,3306486818,,,
May-19-2015,233.128,234.151,231.817,231.936,16989196.52,3301694442,,,
May-18-2015,236.802,237.21,232.46,232.98,12964179.37,3347421351,,,
May-17-2015,236.153,238.025,236.01,236.796,10473493.1,3353253534,,,
May-16-2015,237.605,237.697,235.295,236.185,14323140.97,3353516477,,,
May-15-2015,236.929,238.753,236.795,237.589,21586096.53,3362855029,,,
May-14-2015,236.377,237.799,234.057,236.886,27504704.17,3346507069,,,
May-13-2015,241.112,243.704,235.045,236.525,18771225.44,3430691259,,,
May-12-2015,242.158,242.881,240.099,241.494,21330665.16,3417333593,,,
May-11-2015,240.296,244.27,239.376,241.949,16872073.26,3414261408,,,
May-10-2015,241.832,244.068,238.849,240.491,16237837.06,3411267770,,,
May-09-2015,243.863,247.804,239.639,242.022,27321360.76,3429250135,,,
May-08-2015,237.334,246.275,236.274,243.94,28396472.92,3390403535,,,
May-07-2015,229.782,239.105,228.573,237.135,32251069.44,3281892838,,,
May-06-2015,236.249,236.454,229.231,229.439,20314082.73,3316756498,,,
May-05-2015,239.018,239.204,232.054,236.121,24112546.55,3324733955,,,
May-04-2015,240.358,242.638,237.81,239.004,18155844.91,3390018829,,,
May-03-2015,234.93,243.24,234.083,240.376,15230510.45,3380089782,,,
May-02-2015,232.079,235.727,232.079,235.027,16459297.54,3313635438,,,
May-01-2015,236.145,238.966,232.155,232.155,27798349.48,3316856336,,,
Apr-30-2015,225.808,239.563,224.993,235.997,25522612.98,3266974382,,,
Apr-29-2015,225.855,227.04,223.43,226.002,19555204.71,3171952246,,,
Apr-28-2015,229.286,229.495,223.069,225.749,35962736.14,3182019757,,,
Apr-27-2015,219.43,233.305,218.023,229.219,25575364.58,3123378557,,,
Apr-26-2015,226.39,226.944,214.874,219.391,22278758.19,3088753093,,,
Apr-25-2015,231.268,232.561,226.337,226.483,16704080.1,3226842342,,,
Apr-24-2015,236.462,236.462,229.933,231.215,21248075.69,3261083575,,,
Apr-23-2015,234.176,236.475,233.199,236.475,19920133.57,3305168101,,,
Apr-22-2015,235.269,237.909,233.476,233.881,27896409.76,3320014766,,,
Apr-21-2015,224.626,235.122,224.301,234.462,18483512.24,3187031022,,,
Apr-20-2015,222.6,226.351,221.977,224.645,16828246.13,3156487877,,,
Apr-19-2015,223.356,226.353,222.373,222.604,13467615.55,3160343223,,,
Apr-18-2015,222.882,224.316,220.876,223.417,16619705.63,3136079419,,,
Apr-17-2015,228.573,228.906,221.942,222.951,21363387.11,3159164368,,,
Apr-16-2015,223.833,229.672,223.833,228.615,24491935.31,3192533633,,,
Apr-15-2015,219.159,223.656,218.649,223.656,28400835.06,3109360719,,,
Apr-14-2015,224.587,224.976,216.323,219.163,36191389.82,3102041591,,,
Apr-13-2015,236.153,236.935,221.996,224.81,15095382.29,3267035587,,,
Apr-12-2015,236.552,237.728,233.495,236.071,14498120.49,3318301315,,,
Apr-11-2015,236.072,239.537,234.175,236.637,24275550.52,3314683550,,,
Apr-10-2015,243.676,243.694,232.771,235.881,23803851.04,3343933990,,,
Apr-09-2015,245.022,246.118,239.4,243.744,27322916.32,3418385182,,,
Apr-08-2015,253.18,253.847,244.215,245.084,22124065.37,3491946681,,,
Apr-07-2015,255.492,255.805,252.205,253.451,20464069.1,3557357646,,,
Apr-06-2015,260.598,261.798,254.575,255.527,21282867.36,3620470539,,,
Apr-05-2015,253.697,260.675,251.942,260.451,13221818.64,3580323627,,,
Apr-04-2015,254.322,255.258,251.1,253.83,17892766.2,3546665731,,,
